tree_talker,timestamp,latitude,longitude,geohash,site,value
52070726,2019-05-19 00:00:00,40.34182588,17.70671345,srhtdbj8h,Avetrana,1
52070710,2019-05-19 00:00:00,40.34163188,17.70666332,srht6zvx5,Avetrana,1
52070711,2019-05-19 00:00:00,40.34142603,17.70664600,srht6zvtf,Avetrana,1
52070719,2019-05-19 00:00:00,40.34118853,17.70662430,srht6zvs6,Avetrana,1
52070732,2019-05-19 00:00:00,40.34106180,17.70659617,srht6zve9,Avetrana,1
52070733,2019-05-19 00:00:00,40.34108600,17.70651173,srht6zv7z,Avetrana,1
52070729,2019-05-19 00:00:00,40.34128942,17.70653688,srht6zvt0,Avetrana,1
52070725,2019-05-19 00:00:00,40.34152195,17.70656959,srht6zvw2,Avetrana,1
52070714,2019-05-19 00:00:00,40.34166140,17.70657476,srht6zvx1,Avetrana,1
52070836,2019-05-19 00:00:00,40.34183948,17.70661275,srhtdbj81,Avetrana,1
52070736,2019-05-19 00:00:00,40.34180189,17.70652242,srhtdbj2p,Avetrana,1
52070715,2019-05-19 00:00:00,40.34167773,17.70650498,srht6zvrr,Avetrana,1
52070713,2019-05-19 00:00:00,40.34148518,17.70648109,srht6zvqn,Avetrana,1
52070712,2019-05-19 00:00:00,40.34134969,17.70646397,srht6zvmq,Avetrana,1
52070731,2019-05-19 00:00:00,40.34109774,17.70644165,srht6zv7v,Avetrana,1
52070724,2019-05-19 00:00:00,40.34113941,17.70633486,srht6zvk5,Avetrana,1
52070718,2019-05-19 00:00:00,40.34131253,17.70638310,srht6zvmh,Avetrana,1
52070723,2019-05-19 00:00:00,40.34150330,17.70638753,srht6zvqk,Avetrana,1
52070730,2019-05-19 00:00:00,40.34167907,17.70640565,srht6zvrm,Avetrana,1
52070728,2019-05-19 00:00:00,40.34187210,17.70644034,srhtdbj2m,Avetrana,1
52080833,2019-05-19 00:00:00,40.57681971,17.74885464,srhwgfu34,Mesagne,1
52070734,2019-05-19 00:00:00,40.57680484,17.74910600,srhwgfu90,Mesagne,1
52070721,2019-05-19 00:00:00,40.57680469,17.74920534,srhwgfu94,Mesagne,1
52070727,2019-05-19 00:00:00,40.57673755,17.74911792,srhwgfu88,Mesagne,1
52080834,2019-05-19 00:00:00,40.57671734,17.74879731,srhwgfu28,Mesagne,1
52070735,2019-05-19 00:00:00,40.57661395,17.74890896,srhwgfsrg,Mesagne,1
52070722,2019-05-19 00:00:00,40.57662338,17.74915058,srhwgfsxc,Mesagne,1
52080839,2019-05-19 00:00:00,40.57669850,17.74921674,srhwgfu86,Mesagne,1
52080838,2019-05-19 00:00:00,40.57657970,17.74908511,srhwgfsrx,Mesagne,1
52070737,2019-05-19 00:00:00,40.57645985,17.74902949,srhwgfsrn,Mesagne,1
52070708,2019-05-19 00:00:00,40.57645276,17.74893880,srhwgfsqu,Mesagne,1
52080840,2019-05-19 00:00:00,40.57641914,17.74910644,srhwgfswb,Mesagne,1
52070709,2019-05-19 00:00:00,40.57636566,17.74905547,srhwgfsqq,Mesagne,1
52070720,2019-05-19 00:00:00,40.57629935,17.74905234,srhwgfsqn,Mesagne,1
52070717,2019-05-19 00:00:00,40.57632747,17.74930090,srhwgfswh,Mesagne,1
52080832,2019-05-19 00:00:00,40.57618664,17.74891432,srhwgfsm7,Mesagne,1
52070716,2019-05-19 00:00:00,40.57613495,17.74908666,srhwgfsmp,Mesagne,1
52080841,2019-05-19 00:00:00,40.57615073,17.74917986,srhwgfst1,Mesagne,1
52080835,2019-05-19 00:00:00,40.57603665,17.74911683,srhwgfss8,Mesagne,1
52080837,2019-05-19 00:00:00,40.57604225,17.74920132,srhwgfssd,Mesagne,1
